0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
23.31371,22.31371,21.31371,20.31371,19.31371,18.31371,17.31371,16.31371,15.313708,14.899495,10000.0,10000.0,13.656855,13.2426405,12.2426405,11.2426405,10.2426405,9.2426405,8.828427,8.414213,8.0,8.414213,8.828427,9.2426405
23.727922,22.727922,21.727922,20.727922,19.727922,18.727922,17.727922,16.727922,16.31371,15.899495,10000.0,10000.0,14.656855,13.656855,12.656855,11.656855,10.656855,10.2426405,9.828427,9.414213,9.0,9.414213,9.828427,10.2426405
24.142136,23.142136,22.142136,21.142136,20.142136,19.142136,10000.0,10000.0,17.31371,16.899494,17.071068,16.071068,15.071068,14.071068,13.071068,12.071068,11.656855,11.2426405,10.828427,10.414213,10.0,10.414213,10.828427,11.2426405
24.556349,23.556349,22.556349,21.556349,20.556349,20.142136,10000.0,10000.0,18.31371,17.899494,17.485281,16.485281,15.485281,14.485281,13.485281,10000.0,10000.0,10000.0,10000.0,11.414213,11.0,11.414213,11.828427,12.2426405
24.970562,23.970562,22.970562,21.970562,21.556349,21.142136,10000.0,10000.0,19.31371,18.899494,17.899494,16.899494,15.899495,14.899495,14.485281,10000.0,1.0,1.0,10000.0,12.414213,12.0,12.414213,12.828427,13.2426405
25.384775,24.384775,23.384775,22.970562,22.556349,22.142136,10000.0,10000.0,20.31371,19.31371,18.31371,17.31371,16.31371,15.899495,15.485281,10000.0,10000.0,10000.0,10000.0,13.414213,13.0,13.414213,13.828427,14.2426405
25.79899,24.79899,24.384775,23.970562,23.556349,23.142136,10000.0,10000.0,20.727922,19.727922,18.727922,17.727922,17.31371,16.899494,16.485281,10000.0,10000.0,15.828427,14.828427,14.414213,14.0,14.414213,14.828427,15.2426405
26.213203,25.79899,25.384775,24.970562,24.556349,24.142136,10000.0,10000.0,21.142136,20.142136,19.142136,18.727922,18.31371,17.899494,17.485281,10000.0,10000.0,16.242641,15.828427,15.414213,15.0,15.414213,15.828427,16.242641
27.213203,26.79899,26.384775,25.970562,25.556349,24.556349,23.556349,22.556349,21.556349,20.556349,20.142136,19.727922,19.31371,18.899494,18.485281,10000.0,10000.0,17.242641,16.828426,16.414213,16.0,16.414213,16.828426,17.242641
28.213203,27.79899,27.384775,26.970562,25.970562,24.970562,23.970562,22.970562,21.970562,21.556349,21.142136,20.727922,20.31371,19.899494,19.485281,10000.0,10000.0,18.242641,17.828426,17.414213,17.0,17.414213,17.828426,18.242641
29.213203,28.79899,28.384775,27.384775,26.384775,25.384775,24.384775,23.384775,22.970562,22.556349,22.142136,21.727922,21.31371,20.899494,20.485281,20.656855,19.656855,19.242641,18.828426,18.414213,18.0,18.414213,18.828426,19.242641
30.213203,29.79899,28.79899,27.79899,26.79899,25.79899,24.79899,24.384775,23.970562,23.556349,23.142136,22.727922,22.31371,21.899494,21.485281,21.071068,20.656855,20.242641,19.828426,19.414213,19.0,19.414213,19.828426,20.242641
31.213203,30.213203,29.213203,28.213203,27.213203,26.213203,25.79899,25.384775,24.970562,24.556349,24.142136,23.727922,23.31371,22.899494,22.485281,22.071068,21.656855,21.242641,20.828426,20.414213,20.0,20.414213,20.828426,21.242641
21.242641,20.242641,19.242641,18.242641,17.242641,16.242641,15.2426405,14.2426405,13.2426405,12.2426405,11.2426405,10.2426405,9.2426405,8.2426405,7.2426405,6.2426405,5.2426405,4.2426405,3.828427,3.4142137,3.0,3.4142137,3.828427,4.2426405
20.828426,19.828426,18.828426,17.828426,16.828426,15.828427,14.828427,13.828427,12.828427,11.828427,10.828427,9.828427,8.828427,7.8284273,6.8284273,5.8284273,4.8284273,3.828427,2.828427,2.4142137,2.0,2.4142137,2.828427,3.828427
20.414213,19.414213,18.414213,17.414213,16.414213,15.414213,14.414213,13.414213,12.414213,11.414213,10.414213,9.414213,8.414213,7.4142137,6.4142137,5.4142137,4.4142137,3.4142137,2.4142137,1.0,1.0,1.0,2.4142137,3.4142137
20.828426,19.828426,18.828426,17.828426,16.828426,15.828427,14.828427,13.828427,12.828427,10000.0,10000.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0
21.242641,20.242641,19.242641,18.242641,10000.0,10000.0,10000.0,14.2426405,13.828427,10000.0,10000.0,9.414213,8.414213,7.4142137,6.4142137,5.4142137,4.4142137,3.4142137,2.4142137,1.0,1.0,1.0,2.4142137,3.4142137
21.656855,20.656855,19.656855,19.242641,10000.0,1.0,10000.0,14.656855,13.656855,10000.0,10000.0,9.828427,8.828427,7.8284273,6.8284273,5.8284273,4.8284273,3.828427,2.828427,2.4142137,2.0,2.4142137,2.828427,3.828427
22.071068,21.071068,20.071068,19.071068,10000.0,10000.0,10000.0,14.2426405,13.2426405,12.2426405,11.2426405,10.2426405,9.2426405,8.2426405,7.2426405,6.2426405,5.2426405,4.2426405,3.828427,3.4142137,3.0,3.4142137,3.828427,4.2426405
21.656855,20.656855,19.656855,18.656855,17.656855,16.656855,15.656855,14.656855,13.656855,12.656855,11.656855,10.656855,9.656855,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4.0,4.4142137,4.8284273,5.2426405
22.071068,21.071068,20.071068,19.071068,18.071068,17.071068,16.071068,15.071068,14.071068,13.071068,12.071068,11.071068,10.656855,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,5.0,5.4142137,5.8284273,6.2426405
22.485281,21.485281,20.485281,19.485281,18.485281,17.485281,16.485281,15.485281,14.485281,13.485281,12.485281,12.071068,11.656855,12.071068,11.414213,10.414213,9.414213,8.414213,7.4142137,6.4142137,6.0,6.4142137,6.8284273,7.2426405
22.899494,21.899494,20.899494,19.899494,18.899494,17.899494,16.899494,15.899495,14.899495,13.899495,13.485281,13.071068,12.656855,12.828427,11.828427,10.828427,9.828427,8.828427,7.8284273,7.4142137,7.0,7.4142137,7.8284273,8.2426405
23.31371,22.31371,21.31371,20.31371,19.31371,18.31371,17.31371,16.31371,15.313708,14.899495,10000.0,10000.0,13.656855,13.2426405,12.2426405,11.2426405,10.2426405,9.2426405,8.828427,8.414213,8.0,8.414213,8.828427,9.2426405
23.727922,22.727922,21.727922,20.727922,19.727922,18.727922,17.727922,16.727922,16.31371,15.899495,10000.0,10000.0,14.656855,13.656855,12.656855,11.656855,10.656855,10.2426405,9.828427,9.414213,9.0,9.414213,9.828427,10.2426405
24.142136,23.142136,22.142136,21.142136,20.142136,19.142136,10000.0,10000.0,17.31371,16.899494,17.071068,16.071068,15.071068,14.071068,13.071068,12.071068,11.656855,11.2426405,10.828427,10.414213,10.0,10.414213,10.828427,11.2426405
24.556349,23.556349,22.556349,21.556349,20.556349,20.142136,10000.0,10000.0,18.31371,17.899494,17.485281,16.485281,15.485281,14.485281,13.485281,10000.0,10000.0,10000.0,10000.0,11.414213,11.0,11.414213,11.828427,12.2426405
24.970562,23.970562,22.970562,21.970562,21.556349,21.142136,10000.0,10000.0,19.31371,18.899494,17.899494,16.899494,15.899495,14.899495,14.485281,10000.0,1.0,1.0,10000.0,12.414213,12.0,12.414213,12.828427,13.2426405
25.384775,24.384775,23.384775,22.970562,22.556349,22.142136,10000.0,10000.0,20.31371,19.31371,18.31371,17.31371,16.31371,15.899495,15.485281,10000.0,10000.0,10000.0,10000.0,13.414213,13.0,13.414213,13.828427,14.2426405
25.79899,24.79899,24.384775,23.970562,23.556349,23.142136,10000.0,10000.0,20.727922,19.727922,18.727922,17.727922,17.31371,16.899494,16.485281,10000.0,10000.0,15.828427,14.828427,14.414213,14.0,14.414213,14.828427,15.2426405
26.213203,25.79899,25.384775,24.970562,24.556349,24.142136,10000.0,10000.0,21.142136,20.142136,19.142136,18.727922,18.31371,17.899494,17.485281,10000.0,10000.0,16.242641,15.828427,15.414213,15.0,15.414213,15.828427,16.242641
27.213203,26.79899,26.384775,25.970562,25.556349,24.556349,23.556349,22.556349,21.556349,20.556349,20.142136,19.727922,19.31371,18.899494,18.485281,10000.0,10000.0,17.242641,16.828426,16.414213,16.0,16.414213,16.828426,17.242641
28.213203,27.79899,27.384775,26.970562,25.970562,24.970562,23.970562,22.970562,21.970562,21.556349,21.142136,20.727922,20.31371,19.899494,19.485281,10000.0,10000.0,18.242641,17.828426,17.414213,17.0,17.414213,17.828426,18.242641
29.213203,28.79899,28.384775,27.384775,26.384775,25.384775,24.384775,23.384775,22.970562,22.556349,22.142136,21.727922,21.31371,20.899494,20.485281,20.656855,19.656855,19.242641,18.828426,18.414213,18.0,18.414213,18.828426,19.242641
30.213203,29.79899,28.79899,27.79899,26.79899,25.79899,24.79899,24.384775,23.970562,23.556349,23.142136,22.727922,22.31371,21.899494,21.485281,21.071068,20.656855,20.242641,19.828426,19.414213,19.0,19.414213,19.828426,20.242641
31.213203,30.213203,29.213203,28.213203,27.213203,26.213203,25.79899,25.384775,24.970562,24.556349,24.142136,23.727922,23.31371,22.899494,22.485281,22.071068,21.656855,21.242641,20.828426,20.414213,20.0,20.414213,20.828426,21.242641
