genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,2.4939983E-4,0.5720824,0.83472455,1.4070563,BFBBLFFFRRFLFBRBRLRFFBFLFFBLRBRLFFLBLBLRBFFFRLFFBFFFLRBLRFRBBFBFBBRRLLRFBLFBBBRFRFBFLFFLRFRFRFBRBBFFLLFFLBFFBFRBRRLFFFLRBRBRFRLLBRFFRBBRRBRBBLLFLLBBLRLFBBRBRBBBFRLRBLLLFRFFFFBBFFLRRFBFRBFBLFRLRLRLRBFLBRLFLFRRFLLLRBBRBFRRFFBRBLLFBFBRFLFFBRFFRBFFBLRRLRFFRBBRRLLLRLRBFLBFLFRFLLLRBBFRLRFLRRBLLFRRRRRBBRBBRFBBBFRLBFLBFRLRLRBLBBBBBLFLBBRBBFBRRBFFFRFLLFBFFRLBLRRRRFBBLRBFBBFBRRFRRFBBFBFRBRBRRLFRLFBBBLBFFBFBRLLFFLBFBFBFLFBBFLBBFBLLLLBLLRBFRRBBLFLLFLRBFRRBRFLRBLFRRFRFBBFLRRRBRFBLBBBLLBBBBBLLRLLFLBBRFFLFBLRL,0.015546875,0.002,0.5720824,0.83472455
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,9.2304E-4,0.5966587,0.25176233,0.8493441,BRRRLRLRLRLLRFBFBLRLLRRLLRLLRRRRRLLFFFLLRRFRBFBBLRBBLLLBFFBRLRRLLRLRRLRRLRRLFFBRBRLRRRLLRLRLLLRRLRFBLRLFBLLRLFLLLBRRRRLRLLLLFRBFBBFFBRRLRFBLRRRFRBRRFFBBLRRLLLLLRLRRLRLLLRRRFBFFLRBRRBFBLRFFLBFRBBRLLRLRRLRRFBRLLRRRFBFBRLLRRRFRBRRLRRLRLLRLRLFBLRRRFBRLRFBRFBBLFBFFBLLLRLLFBRLLRRLLRRRRRRFBRBLRLRBRLFRBBBLRLLRFBBBBBFFFBRFFLRLBBFFBRLFRLBFBFBBBBBRLLBRBFFFFFBFBFFFBBFFFLRBBFBFBFBBBFFBFFBRLRLBBBBBBBBBFRFLFFBBBBFFBRBLBFBFBFRLRBLBBFBBFBRLBRBLFLBLRRFFBBBLRFLBFRLLLRLBFLLLLLLLLFBLBFRLBFLLLLLRRRLBLBFFBFRRLLBFFBLRR,0.02948575,0.002,0.5966587,0.25176233
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,0.002048626,0.5875441,0.25037557,0.83996826,FRRRLRFBLRLLRLLLRFBRRLRRRRLRRLRRRLRRFBRBFRFBRLLRRRFLBFLRBBLFRLRRLFBRLLRLFBRRRRLLLFBRRRLLFLBRRLBFLLFBRLFBRLRRBFRLFLFBBFBRLLRLLRRRBFRRLLLFRBLLLLLRBFRFBBFLLFRRFRBBRLLRBFRRLLFBRLLLLLFRBFRBRRRFFRLBRBRLRRLLLRLRLLLRFLRBRRLRBFFBRRLRRLFBRRRRBBRBBBBBBFFBRLFBBBLRBLRFFBBBFFBBBBBBFFFBBBRBBLBLRBLLBFBRBFFRBFLRLRLBFRBFFBRFLFBLRFBFBFFRLFFBFRRBLBLFRLBFBFFFBBBBBBBFLRBFLRLRRBLLLRLRFBBFLLRFBFRLLLBRLLLBLFLRLRFBBFLFBRRLLRLLRLLLLLLLBBBFLRRFLBRFRRFFRBLBLLFLLRRRLRLLLBFBLFBFRLLRLLLLFLRFRRLFFFLFBRFBFFFFLRLRFBFLFBRFBFFBBFFB,0.043301836,0.002,0.5875441,0.25037557
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.002048626,0.5875441,0.25037557,0.83996826,FRRRLRFBLRLLRLLLRFBRRLRRRRLRRLRRRLRRFBRBFRFBRLLRRRFLBFLRBBLFRLRRLFBRLLRLFBRRRRLLLFBRRRLLFLBRRLBFLLFBRLFBRLRRBFRLFLFBBFBRLLRLLRRRBFRRLLLFRBLLLLLRBFRFBBFLLFRRFRBBRLLRBFRRLLFBRLLLLLFRBFRBRRRFFRLBRBRLRRLLLRLRLLLRFLRBRRLRBFFBRRLRRLFBRRRRBBRBBBBBBFFBRLFBBBLRBLRFFBBBFFBBBBBBFFFBBBRBBLBLRBLLBFBRBFFRBFLRLRLBFRBFFBRFLFBLRFBFBFFRLFFBFRRBLBLFRLBFBFFFBBBBBBBFLRBFLRLRRBLLLRLRFBBFLLRFBFRLLLBRLLLBLFLRLRFBBFLFBRRLLRLLRLLLLLLLBBBFLRRFLBRFRRFFRBLBLLFLLRRRLRLLLBFBLFBFRLLRLLLLFLRFRRLFFFLFBRFBFFFFLRLRFBFLFBRFBFFBBFFB,0.043301836,0.002,0.5875441,0.25037557
4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.002048626,0.5875441,0.25037557,0.83996826,FRRRLRFBLRLLRLLLRFBRRLRRRRLRRLRRRLRRFBRBFRFBRLLRRRFLBFLRBBLFRLRRLFBRLLRLFBRRRRLLLFBRRRLLFLBRRLBFLLFBRLFBRLRRBFRLFLFBBFBRLLRLLRRRBFRRLLLFRBLLLLLRBFRFBBFLLFRRFRBBRLLRBFRRLLFBRLLLLLFRBFRBRRRFFRLBRBRLRRLLLRLRLLLRFLRBRRLRBFFBRRLRRLFBRRRRBBRBBBBBBFFBRLFBBBLRBLRFFBBBFFBBBBBBFFFBBBRBBLBLRBLLBFBRBFFRBFLRLRLBFRBFFBRFLFBLRFBFBFFRLFFBFRRBLBLFRLBFBFFFBBBBBBBFLRBFLRLRRBLLLRLRFBBFLLRFBFRLLLBRLLLBLFLRLRFBBFLFBRRLLRLLRLLLLLLLBBBFLRRFLBRFRRFFRBLBLLFLLRRRLRLLLBFBLFBFRLLRLLLLFLRFRRLFFFLFBRFBFFFFLRLRFBFLFBRFBFFBBFFB,0.043301836,0.002,0.5875441,0.25037557
5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,0.0026269045,0.5861665,0.2745744,0.8633678,FRRRRRLLLRRRRRRBFLRLRRFBRRLRLFBRBFLLLRFBFLBRLRLRRLLRRLRLLRRRRLLLRLRRLLRRFBRRBFLLRRRFRFRBLBRLRRLRRLRFBRRBBFBBFRLRLFFBLFBRFLBFBRFLLFBFBBFFBRBLRFBRFBRRFFRLBLLBBFRBLLRFRLFLLLLRLRLRFRLLBRRBRRFBBRFBLFBRLBBLRBFFFRRLLFLRLFRBLFBRBBBBRBLBFBBRBBLFBBBFBLRFBFRLRBRLFBRFLFFLFBBBRLBBBBBBFRLBFFFBBFRFFLBBFFBFBBLBRBBBFLBBLRFBRFFBLBLLRRRLFBLBFLRBFBFLLBFRLLLRRLRLBFLLLRRBFLLRRLLLRRLLLBFLLLBRRFLRLLRRRLLRRLLLBLRFLLRLLBFLLLRFLLBFLRFFFBFBBFBBRBFLFLRFBFFFBFFFBFBFFBBFFFFFFRFLFBRLLRFFBBFBBBFFRLFRBLFRLBFRRRRLLRLLLBFRRRRBFLLR,0.048754506,0.002,0.5861665,0.2745744
6,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0026269045,0.5861665,0.2745744,0.8633678,FRRRRRLLLRRRRRRBFLRLRRFBRRLRLFBRBFLLLRFBFLBRLRLRRLLRRLRLLRRRRLLLRLRRLLRRFBRRBFLLRRRFRFRBLBRLRRLRRLRFBRRBBFBBFRLRLFFBLFBRFLBFBRFLLFBFBBFFBRBLRFBRFBRRFFRLBLLBBFRBLLRFRLFLLLLRLRLRFRLLBRRBRRFBBRFBLFBRLBBLRBFFFRRLLFLRLFRBLFBRBBBBRBLBFBBRBBLFBBBFBLRFBFRLRBRLFBRFLFFLFBBBRLBBBBBBFRLBFFFBBFRFFLBBFFBFBBLBRBBBFLBBLRFBRFFBLBLLRRRLFBLBFLRBFBFLLBFRLLLRRLRLBFLLLRRBFLLRRLLLRRLLLBFLLLBRRFLRLLRRRLLRRLLLBLRFLLRLLBFLLLRFLLBFLRFFFBFBBFBBRBFLFLRFBFFFBFFFBFBFFBBFFFFFFRFLFBRLLRFFBBFBBBFFRLFRBLFRLBFRRRRLLRLLLBFRRRRBFLLR,0.048754506,0.002,0.5861665,0.2745744
7,T,230.0,0.20576131,0.6029777,0.21677074,1.0255097,230.0,0.20576131,0.6029777,0.21677074,1.0255097,230.0,0.20576131,0.6029777,0.21677074,1.0255097,230.0,0.20576131,0.6029777,0.21677074,1.0255097,230.0,99999.0,99999.0,99999.0,299997.0,230.0,99999.0,99999.0,99999.0,299997.0,230.0,99999.0,99999.0,99999.0,299997.0,230.0,99999.0,99999.0,99999.0,299997.0,FLRRLRRRLRRRRRLLFRRLBFFBRBRLFRBRLLRLFBFBRRRRLLRRLRLLLRLFBRRLRLFFFRFLFRRBBBRBFBRBRLRLLRRLLLLRRRRLRFRRLLRRLBFBLRRFBFLFBRBRLRRLLFBRLRRRRLBFRLBRRBFBBRFLRFLLLFRBLRLFBBFRBFFLRFBRBBLBFBBBRBBLBBBBFBFRBBFBRLBFLRLBBFBRBRLFLRLFBBBLRBBBBLFBRLLLRBLLFLRLRLLLRLLLLLBLFLRRLLRLLLLRRRLLLLRLBLBRFLLFRRLLRRRLLLFFLBBRRRBFLBFLFLFFFFFFFBBBFBFBFBFFFFFFFBFRFRLFRRRLRRLRRLLBFLRLRRLRRRLLLBFLLRRRRLLRRRLRLRRRRLRRBFLLLRRRLLRLRRRRRBLLFLRLLLLRLRRLRLLRLRLLLRRRRRLRLBFLRRRLLLRRLRRLLRRRBFRBBBBFBBLFBRLBLLRLBFBLLFLLRRBLLB,FLRRLRRRLRRRRRLLFRRLBFFBRBRLFRBRLLRLFBFBRRRRLLRRLRLLLRLFBRRLRLFFFRFLFRRBBBRBFBRBRLRLLRRLLLLRRRRLRFRRLLRRLBFBLRRFBFLFBRBRLRRLLFBRLRRRRLBFRLBRRBFBBRFLRFLLLFRBLRLFBBFRBFFLRFBRBBLBFBBBRBBLBBBBFBFRBBFBRLBFLRLBBFBRBRLFLRLFBBBLRBBBBLFBRLLLRBLLFLRLRLLLRLLLLLBLFLRRLLRLLLLRRRLLLLRLBLBRFLLFRRLLRRRLLLFFLBBRRRBFLBFLFLFFFFFFFBBBFBFBFBFFFFFFFBFRFRLFRRRLRRLRRLLBFLRLRRLRRRLLLBFLLRRRRLLRRRLRLRRRRLRRBFLLLRRRLLRLRRRRRBLLFLRLLLLRLRRLRLLRLRLLLRRRRRLRLBFLRRRLLLRRLRRLLRRRBFRBBBBFBBLFBRLBLLRLBFBLLFLLRRBLLB,FLRRLRRRLRRRRRLLFRRLBFFBRBRLFRBRLLRLFBFBRRRRLLRRLRLLLRLFBRRLRLFFFRFLFRRBBBRBFBRBRLRLLRRLLLLRRRRLRFRRLLRRLBFBLRRFBFLFBRBRLRRLLFBRLRRRRLBFRLBRRBFBBRFLRFLLLFRBLRLFBBFRBFFLRFBRBBLBFBBBRBBLBBBBFBFRBBFBRLBFLRLBBFBRBRLFLRLFBBBLRBBBBLFBRLLLRBLLFLRLRLLLRLLLLLBLFLRRLLRLLLLRRRLLLLRLBLBRFLLFRRLLRRRLLLFFLBBRRRBFLBFLFLFFFFFFFBBBFBFBFBFFFFFFFBFRFRLFRRRLRRLRRLLBFLRLRRLRRRLLLBFLLRRRRLLRRRLRLRRRRLRRBFLLLRRRLLRLRRRRRBLLFLRLLLLRLRRLRLLRLRLLLRRRRRLRLBFLRRRLLLRRLRRLLRRRBFRBBBBFBBLFBRLBLLRLBFBLLFLLRRBLLB,FLRRLRRRLRRRRRLLFRRLBFFBRBRLFRBRLLRLFBFBRRRRLLRRLRLLLRLFBRRLRLFFFRFLFRRBBBRBFBRBRLRLLRRLLLLRRRRLRFRRLLRRLBFBLRRFBFLFBRBRLRRLLFBRLRRRRLBFRLBRRBFBBRFLRFLLLFRBLRLFBBFRBFFLRFBRBBLBFBBBRBBLBBBBFBFRBBFBRLBFLRLBBFBRBRLFLRLFBBBLRBBBBLFBRLLLRBLLFLRLRLLLRLLLLLBLFLRRLLRLLLLRRRLLLLRLBLBRFLLFRRLLRRRLLLFFLBBRRRBFLBFLFLFFFFFFFBBBFBFBFBFFFFFFFBFRFRLFRRRLRRLRRLLBFLRLRRLRRRLLLBFLLRRRRLLRRRLRLRRRRLRRBFLLLRRRLLRLRRRRRBLLFLRLLLLRLRRLRLLRLRLLLRRRRRLRLBFLRRRLLLRRLRRLLRRRBFRBBBBFBBLFBRLBLLRLBFBLLFLLRRBLLB,,,,,,,1.0,0.002057613,0.6029777,0.21677074
8,T,0.0,0.20576131,0.6029777,0.21677074,1.0255097,158.0,0.20576131,0.60598505,0.2166741,1.0284204,160.0,0.20576131,0.6029777,0.217547,1.026286,158.0,0.20576131,0.60598505,0.2166741,1.0284204,151.0,0.0,0.0,0.059755553,0.059755553,151.0,0.0,0.0,0.059755553,0.059755553,161.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,FLRRLRRRLRRRRRLLFRRLBFFBRBRLFRLRBLRLFBFBRRRRLLRRLRLLLRLFBRRLRLFFFRFLFRRBBBRBFBRBRLRLLRRLLLLRRRRLRFRRLLRRLBFBLRRFBFLFBRBRLRRLLFBRLRRRRLBFRLBRRBFBBRFLRFLLLFLBRRLFBBFRBFFLRFBRBBLBFBBBRBBLBBBBFBFRBBFBRLBFLRLBBFBRBRLFLLRFBBBLRBBBBLFBRLLLRBLLFLRLRLLLRLLLLLBLFLRRLLRLLLLRRRLLLLRLBLBRFLLFRRLLRRRLLLFFLBBRRRBFLBFLFLFFFFFFFBBBFBFBFBFFFFFFFBFRFRLFRRRLRRLRRLLBFLRLRRLRRRLLLBFLLRRRRLLRRRLRLRRRRLRRLFBLLRRRLLRLRRRRRBLLFLRLLLLRLRRLRLLRLRLLLRRRRRLRLBFLRRRLLLRRLRRLLRRRBFRBBBBFBBLFBRLBLLRLBFBLLFLLRRBLLB,FLRRLRRRLRRRRRLLFRRLBFFBRBRLFRLRBLRLFBFBRRRRLLRRLRLLLRLFBRRLRLFFFRFLFRRBBBRBFBRBRLRLLRRLLLLRRRRLRFRRLLRRLBFBLRRFBFLFBRBRLRRLLFBRLRRRRLBFRLBRRBFBBRFLRFLLLFLBRRLFBBFRBFFLRFBRBBLBFBBBRBBLBBBBFBFRBBFBRLBFLRLBBFBRBRLFLLRFBBBLRBBBBLFBRLLLRBLLFLRLRLLLRLLLLLBLFLRRLLRLLLLRRRLLLLRLBLBRFLLFRRLLRRRLLLFFLBBRRRBFLBFLFLFFFFFFFBBBFBFBFBFFFFFFFBFRFRLFRRRLRRLRRLLBFLRLRRLRRRLLLBFLLRRRRLLRRRLRLRRRRLRRLFBLLRRRLLRLRRRRRBLLFLRLLLLRLRRLRLLRLRLLLRRRRRLRLBFLRRRLLLRRLRRLLRRRBFRBBBBFBBLFBRLBLLRLBFBLLFLLRRBLLB,FLRRLRRRLRRRRRLLFRRLBFFBRBRLFRBLRLRLFBFBRRRRLLRRLRLLLRLFBRRLRLFFFRFLFRRBBBRBFBRBRLRLLRRLLLLRRRRLRFRRLLRRLBFBLRRFBFLFBRBRLRRLLFBRLRRRRLBFRLBRRBFBBRFLRFLLLFRBLRLFBBFRBFFLRFBRBBLBFBBBRBBLBBBBFBFRBBFBRLBFLRLBBFBRBRLFLRLFBBBLRBBBBLFBRLLLRBLLFLRLRLLLRLLLLLBLFLRRLLRLLLLRRRLLLLRLBLBRFLLFRRLLRRRLLLFFLBBRRRBFLBFLFLFFFFFFFBBBFBFBFBFFFFFFFBFRFRLFRRRLRRLRRLLBFLRLRRLRRRLLLBFLLRRRRLLRRRLRLRRRRLRRBFLLLRRRLLRLRRRRRLBLFLRLLLLRLRRLRLLRLRLLLRRRRRLRLBFLRRRLLLRRLRRLLRRRBFRBBBBFBBLFBRLBLLRLBFBLLFLLRRBLLB,FLRRLRRRLRRRRRLLFRRLBFFBRBRLFRBLRLRLFBFBRRRRLLRRLRLLLRLFBRRLRLFFFRFLFRRBBBRBFBRBRLRLLRRLLLLRRRRLRFRRLLRRLBFBLRRFBFLFBRBRLRRLLFBRLRRRRLBFRLBRRBFBBRFLRFLLLFRBLRLFBBFRBFFLRFBRBBLBFBBBRBBLBBBBFBFRBBFBRLBFLRLBBFBRBRLFLRLFBBBLRBBBBLFBRLLLRBLLFLRLRLLLRLLLLLBLFLRRLLRLLLLRRRLLLLRLBLBRFLLFRRLLRRRLLLFFLBBRRRBFLBFLFLFFFFFFFBBBFBFBFBFFFFFFFBFRFRLFRRRLRRLRRLLBFLRLRRLRRRLLLBFLLRRRRLLRRRLRLRRRRLRRBFLLLRRRLLRLRRRRRLBLFLRLLLLRLRRLRLLRLRLLLRRRRRLRLBFLRRRLLLRRLRRLLRRRBFRBBBBFBBLFBRLBLLRLBFBLLFLLRRBLLB,,,,,,,1.0,0.002057613,0.60148513,0.21677074
9,T,0.0,0.20576131,0.6029777,0.21677074,1.0255097,46.0,0.20576131,0.60598505,0.2166741,1.0284204,185.0,0.20576131,0.6037267,0.21832883,1.0278168,46.0,0.20576131,0.60598505,0.2166741,1.0284204,2.0,0.0,0.110835366,0.0134808,0.12431616,5.0,0.0,0.0,0.026756939,0.026756939,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,FLRRLRRRLRRRRRLLFRRLBFFBRBRLFRBRLLRLFBFBRRRRLLRRLRLLLRLFBRRLRLFFFRFLFRRBBBRBFBRBRLRLLRRLLLLRRRRLRFRRLLRRLBFBLRRFBFLFBRRBLRRLLFBRLRRRRLBFRLBRRBFBBRFLRFLLLFRBLRLFBBFRBFFLRFBRBBLBFBBBRBBLBBBBFBFRBBFBRLBFLRLBFBBRBRLFLRLFBBBLRBBBBLFBRLLLRBLLFLRLRLLLRLLLLLBLFLRRLLRLLLLRRRLLLLRLBLBRFLLFRRLLRRRLLLFFBBLRRRBFLBFLFLFFFFFFFBBBFBFBFBFFFFFFFBFRFRLFRRRLRRLRRLLBFLRLRRLRRRLLLBFLLRRRRLLRRRLRLRRRRLRRBFLLLRLRRLRLRRRRRBLLFLRLLLLRLRRLRLLRLRLLLRRRRRLRLBFLRRRLLLRRLRRLLRRRBFRBBBBFBBLFBRLBLLRLBFBLLFLLRRBLLB,FLRRLRRRLRRRRRLLFRRLBFFBRBRLFRBRLLRLFBFBRRRRLLRRLRLLLRLFBRRLRLFFFRFLFRRBBBRBFBRBRLRLLRRLLLLRRRRLRFRRLLRRLBFBLRRFBFLFBRBRLRRLLFBRLRRRRLBFRLBRRBFBBRFLRFLLLRFBLRLFBBFRBFFLRFBRBBLBFBBBRBBLBBBBFBFRBBFBRLBFLRLBBFBRBRLFLRLFBBBLRBBBBLFBRLLLRBLLFLRLRLLLRLLLLLBLFLRRLLRLLLLRRRLLLLRLBLBRFLLFRRLLRRRLLLFFLBBRRRBFLBFLFLFFFFFFFBBBFBFBFBFFFFFFFBFRFRLFRRRLRRLRRLBLFLRLRRLRRRLLLBFLLRRRRLLRRRLRLRRRRLRRBFLLLRRRLLRLRRRRRBLLFLRLLLLRLRRLRLLRLRLLLRRRRRLRLBFLRRRLLLRRLRRLLRRRBFRBBBBFBBLFBRLBLLRLBFBLLFLLRRBLLB,FLRRLRRRLRRRRRLLFRRLBFFBRBRLFRBLRLRLFBFBRRRRLLRRLRLLLRLFBRRLRLFFFRFLFRRBBBRBFBRBRLRLLRRLLLLRRRRLRFRRLLRRLBFBLRRFBFLFBRBRLRRLLFBRLRRRRLBFRLBRRBFBBRFLRFLLLFRBLRLFBBFRBFFLRFBRBBLBFBBBRBBLBBBBFBFRBBFBRLBFLRLBBFBRBRLFLRLFBBBLRBBBBLFBRLLLRBLLFLRLRLLLRLLLLLBLFLRRLLRLLLLRRRLLLLRLBLBRFLLFRRLLRRRLLLFFLBBRRRBFLBFLFLFFFFFFFBBBFBFBFBFFFFFFFBFRFRLFRRRLRRLRRLLBFLRLRRLRRRLLLBFLLRRRRLLRRRLRLRRRRLRRBFLLLRRRLLRLRRRRRLBLFLRLLLLRLRRLRLLRLRLLLRRRRRLRLBFLRRRLLLRRLRRLLRRRBFRBBBBFBBLFBRLBLLRLBFBLLFLLRRBLLB,FLRRLRRRLRRRRRLLFRRLBFFBRBRLFRBLRLRLFBFBRRRRLLRRLRLLLRLFBRRLRLFFFRFLFRRBBBRBFBRBRLRLLRRLLLLRRRRLRFRRLLRRLBFBLRRFBFLFBRBRLRRLLFBRLRRRRLBFRLBRRBFBBRFLRFLLLFRBLRLFBBFRBFFLRFBRBBLBFBBBRBBLBBBBFBFRBBFBRLBFLRLBBFBRBRLFLRLFBBBLRBBBBLFBRLLLRBLLFLRLRLLLRLLLLLBLFLRRLLRLLLLRRRLLLLRLBLBRFLLFRRLLRRRLLLFFLBBRRRBFLBFLFLFFFFFFFBBBFBFBFBFFFFFFFBFRFRLFRRRLRRLRRLLBFLRLRRLRRRLLLBFLLRRRRLLRRRLRLRRRRLRRBFLLLRRRLLRLRRRRRLBLFLRLLLLRLRRLRLLRLRLLLRRRRRLRLBFLRRRLLLRRLRRLLRRRBFRBBBBFBBLFBRLBLLRLBFBLLFLLRRBLLB,,,,,,,1.0,0.002057613,0.60148513,0.21677074
10,T,63.0,0.60240966,0.67479676,0.23646724,1.5136737,92.0,0.60240966,0.6803279,0.22493225,1.5076697,63.0,0.60240966,0.67479676,0.23646724,1.5136737,63.0,0.60240966,0.67479676,0.23646724,1.5136737,63.0,99999.0,99999.0,99999.0,299997.0,63.0,99999.0,99999.0,99999.0,299997.0,63.0,99999.0,99999.0,99999.0,299997.0,63.0,99999.0,99999.0,99999.0,299997.0,FRRRFRRRRBRRFFFRFLFRRBBBBBRRRFRBRFLBRRRBRRBBRFFLLLFRRBBLBBBRBBLBBBRBBLBBBBBBBBLLBLFLLLLLLLBLFLLLLLLBLBRFLLFRFFLBLFFFFFFFFFFFRFFRRRRRRRRRRRRRRBLLFRRRBBBBBLBLLBLLFLBLLB,FRRRFRRRRBRRFFFRFLFRRBBBBBRRRFRBRFLBRRRBRRBBRFFLLLFRRBBLBBBRBBLBBBRBBLBBBBBBBBLLBLFLLLLLLLBLFLLLLLLBLBRFLLFRFFLBLFFFFFFFFFFFRFFRRRRRRRRRRRRRRBLLFRRRBBBBBLBLLBLLFLBLLB,FRRRFRRRRBRRFFFRFLFRRBBBBBRRRFRBRFLBRRRBRRBBRFFLLLFRRBBLBBBRBBLBBBRBBLBBBBBBBBLLBLFLLLLLLLBLFLLLLLLBLBRFLLFRFFLBLFFFFFFFFFFFRFFRRRRRRRRRRRRRRBLLFRRRBBBBBLBLLBLLFLBLLB,FRRRFRRRRBRRFFFRFLFRRBBBBBRRRFRBRFLBRRRBRRBBRFFLLLFRRBBLBBBRBBLBBBRBBLBBBBBBBBLLBLFLLLLLLLBLFLLLLLLBLBRFLLFRFFLBLFFFFFFFFFFFRFFRRRRRRRRRRRRRRBLLFRRRBBBBBLBLLBLLFLBLLB,,,,,,,1.0,0.006024096,0.67479676,0.23646724
11,T,55.0,0.6849315,0.682243,0.24579124,1.6129657,55.0,0.6849315,0.682243,0.24579124,1.6129657,98.0,0.625,0.6779661,0.33684212,1.6398082,98.0,0.625,0.6779661,0.33684212,1.6398082,55.0,99999.0,99999.0,99999.0,299997.0,55.0,99999.0,99999.0,99999.0,299997.0,55.0,99999.0,99999.0,99999.0,299997.0,55.0,99999.0,99999.0,99999.0,299997.0,FRRRRRRRRRFFFFRRBBBRBRBRFRBRFLFRBRRRRRBBLBBBBLBBBRBBBBBBBBBBBLLBLLFLLLLLLLBLFLLLLLBLBRFLLFLFFLBBRFLFFFFFFFFFFRFFRRRRRRRRRFRRRBLFRRBRBBBBLBLLBLLLLB,FRRRRRRRRRFFFFRRBBBRBRBRFRBRFLFRBRRRRRBBLBBBBLBBBRBBBBBBBBBBBLLBLLFLLLLLLLBLFLLLLLBLBRFLLFLFFLBBRFLFFFFFFFFFFRFFRRRRRRRRRFRRRBLFRRBRBBBBLBLLBLLLLB,FRRRRRRRRRFFFFRRBBBRBRBRFRBRFLFRBRRRRRBBLBBBBLBBBRBBBBBBBBBBBLLBLLFLLLLLLLBLFLLLLLBLBRFLLFLFFLBBRFLFFFFFFFFFFRFFRRRRRRRRRFRRRBLFRRBRBBBBLBLLBLLLLB,FRRRRRRRRRFFFFRRBBBRBRBRFRBRFLFRBRRRRRBBLBBBBLBBBRBBBBBBBBBBBLLBLLFLLLLLLLBLFLLLLLBLBRFLLFLFFLBBRFLFFFFFFFFFFRFFRRRRRRRRRFRRRBLFRRBRBBBBLBLLBLLLLB,,,,,,,1.0,0.006849315,0.682243,0.24579124
12,T,0.0,0.6849315,0.682243,0.24579124,1.6129657,0.0,0.6849315,0.682243,0.24579124,1.6129657,1.0,0.625,0.6779661,0.33684212,1.6398082,1.0,0.625,0.6779661,0.33684212,1.6398082,0.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0,FRRRRRRRRRFFFFRRBBBRBRBRFRBRFLFRBRRRRRBBLBBBBLBBBRBBBBBBBBBBBLLBLLFLLLLLLLBLFLLLLLBLBRFLLFLFFLBBRFLFFFFFFFFFFRFFRRRRRRRRRFRRRBLFRRBRBBBBLBLLBLLLLB,FRRRRRRRRRFFFFRRBBBRBRBRFRBRFLFRBRRRRRBBLBBBBLBBBRBBBBBBBBBBBLLBLLFLLLLLLLBLFLLLLLBLBRFLLFLFFLBBRFLFFFFFFFFFFRFFRRRRRRRRRFRRRBLFRRBRBBBBLBLLBLLLLB,FRRRRRRRRRFFFFRRBBBRBRBRFRBRFLFRBRRRRRBBLBBBBLBBBRBBBBBBBBBBBLLBLLFLLLLLLLBLFLLLLLBLBRFLLFLFFLBBRFLFFFFFFFFFFRFFRRRRRRRRRFRRRBLFRRBRBBBBLBLLBLLLLB,FRRRRRRRRRFFFFRRBBBRBRBRFRBRFLFRBRRRRRBBLBBBBLBBBRBBBBBBBBBBBLLBLLFLLLLLLLBLFLLLLLBLBRFLLFLFFLBBRFLFFFFFFFFFFRFFRRRRRRRRRFRRRBLFRRBRBBBBLBLLBLLLLB,,,,,,,1.0,0.006849315,0.682243,0.24579124
