genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0.001372851,0.5524862,0.84033614,1.3941952,RFRBRFRBRFBRBBBRLLRRBRRRBLFFBBFLRRLBRLFRRBBLRFLBFBRFBLLLFRLBRBLRLRLRRBRLLLBFBFRBLLFLRLBLFFLFRBLFRLRF,0.035751875,0.0,0.10497236,0.84033614
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.001372851,0.56179774,0.9009009,1.4640715,RBFRBFRBFLBRRLFRRRRLBFRRRBLLFFFLBLFBFLFRFBFRLBRBFFLFLBBFLBRFFLFRBLBBRLRLBLLLLRFBRBRBRRFFBLBFFRRLFRRL,0.035751875,0.0,0.123595476,0.9009009
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0.0016012067,0.6666667,0.71153843,1.3798063,RRRR1RRRRBBBLFRRFLFLFRFFRBRFRBLFFFRRFRRRRRFFLLBBBBLLLLFFRRBBLLBBLLFFLLFFFF,0.038505137,0.26,0.33333337,0.71153843
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0016012067,0.6666667,0.71153843,1.3798063,RRRR1RRRRBBBLFRRFLFLFRFFRBRFRBLFFFRRFRRRRRFFLLBBBBLLLLFFRRBBLLBBLLFFLLFFFF,0.038505137,0.26,0.33333337,0.71153843
4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0016012067,0.6666667,0.71153843,1.3798063,RRRR1RRRRBBBLFRRFLFLFRFFRBRFRBLFFFRRFRRRRRFFLLBBBBLLLLFFRRBBLLBBLLFFLLFFFF,0.038505137,0.26,0.33333337,0.71153843
5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0016012067,0.66071427,0.71153843,1.3738539,RRRR1RRRRBBBLFRR0LFLLLLFRBRFRBLFFFRRFRFFRRRRLLBBBBLLLLFFRRBBLLBBLBBFLLBBFF,0.038505137,0.26,0.32142854,0.71153843
6,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0016012067,0.6728972,0.7058824,1.3803809,LLRRRR1RRRRBBBLFRRF8F8FRFFRBRRRBLFFFRRFLFFFFRRFFBBBBBBBBLLBBBBBLFFLLFFRB,0.038505137,0.27999997,0.34579444,0.7058824
7,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0016012067,0.6296296,0.6181818,1.2494127,BRRR1RRRRLBBLF8R0LFLLLLFRBRFRBLLFFRRFRFFRRBBBBLLLLFFRRBBLLBBLBLLFBLL,0.038505137,0.32,0.25925922,0.6181818
8,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0016012067,0.6296296,0.6181818,1.2494127,BRRR1RRRRLBBLF8R0LFLLLLFRBRFRBLLFFRRFRFFRRBBBBLLLLFFRRBBLLBBLRRLFBLL,0.038505137,0.32,0.25925922,0.6181818
9,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0016012067,0.6666667,0.7058824,1.3741503,LLRRRR1RRRRBBBLFFRF8F8F8RRBBRRRFLFFFRRFLFFFFRRFFLBBBBBBBLFFBBBBLFFLLBBRB,0.038505137,0.27999997,0.33333337,0.7058824
10,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0016012067,0.6,0.7058824,1.3074837,LLRRRR1RRRRBBBLFFRFFB8FRBBRBRRL1LFRFRBBL0FLFRR1FBB1BB2BBLLBBBLLRRF8LF1RF,0.038505137,0.27999997,0.20000005,0.7058824
11,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0016012067,0.6433566,0.73015875,1.3751166,RFRBRFRBR1RRRBLFFRRRFRRRRRRRFF8LLRFLFRRRBBRBLBBLLBLLFF0LRRRRRBL0RFRRBBLLBBBBRRRRRRRRB1BBRRFF,0.038505137,0.07999998,0.28671324,0.73015875
12,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0.0017988797,0.6101695,0.62068963,1.2326579,BRRRR11RRRRBLLLFFRR1B8FRBRRBRRL1LRRFRBBL0FLFRRLLBB1BB2BLLLBBBLLRRFFLF1RF,0.04072267,0.27999997,0.22033894,0.62068963
