0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
25.970562,25.556349,25.142136,25.556349,26.556349,27.556349,28.556349,29.556349,30.556349,31.556349,10000.0,1.0,1.0,10000.0,17.242641,16.242641,15.2426405,14.2426405,13.2426405,12.2426405,11.2426405,10.828427,11.2426405,11.656855
26.970562,26.556349,26.142136,26.556349,26.970562,27.970562,28.970562,29.970562,30.970562,30.556349,10000.0,1.0,1.0,10000.0,17.656855,16.656855,15.656855,14.656855,13.656855,12.656855,12.2426405,11.828427,12.2426405,12.656855
27.970562,27.556349,27.142136,27.556349,27.970562,28.384775,29.384775,30.384775,29.970562,29.556349,10000.0,1.0,1.0,10000.0,18.071068,17.071068,16.071068,15.071068,14.071068,13.656855,13.2426405,12.828427,13.2426405,13.656855
28.970562,28.556349,28.142136,28.556349,28.970562,29.384775,29.79899,29.384775,28.970562,28.556349,10000.0,1.0,1.0,10000.0,18.485281,17.485281,16.485281,15.485281,15.071068,14.656855,14.2426405,13.828427,14.2426405,14.656855
29.970562,29.556349,29.142136,29.556349,29.970562,30.384775,29.384775,28.384775,27.970562,27.556349,10000.0,1.0,1.0,10000.0,18.899494,17.899494,16.899494,16.485281,16.071068,15.656855,15.2426405,14.828427,15.2426405,15.656855
30.970562,30.556349,30.142136,30.556349,30.970562,29.970562,28.970562,27.970562,26.970562,26.556349,10000.0,1.0,1.0,10000.0,19.31371,18.31371,17.899494,17.485281,17.071068,16.656855,16.242641,15.828427,16.242641,16.656855
31.970562,31.556349,31.142136,31.556349,30.556349,29.556349,28.556349,27.556349,26.556349,25.556349,10000.0,10000.0,10000.0,10000.0,19.727922,19.31371,18.899494,18.485281,18.071068,17.656855,17.242641,16.828426,17.242641,17.656855
32.970562,32.55635,32.142136,31.142136,30.142136,29.142136,28.142136,27.142136,26.142136,25.142136,24.142136,23.142136,22.142136,21.142136,20.727922,20.31371,19.899494,19.485281,19.071068,18.656855,18.242641,17.828426,18.242641,18.656855
33.970562,33.55635,32.55635,31.556349,30.556349,29.556349,28.556349,27.556349,26.556349,25.556349,24.556349,23.556349,22.556349,22.142136,21.727922,21.31371,20.899494,20.485281,20.071068,19.656855,19.242641,18.828426,19.242641,19.656855
34.970562,33.970562,32.970562,31.970562,30.970562,29.970562,28.970562,27.970562,26.970562,25.970562,24.970562,23.970562,23.556349,23.142136,22.727922,22.31371,21.899494,21.485281,21.071068,20.656855,20.242641,19.828426,20.242641,20.656855
20.656855,19.656855,18.656855,17.656855,16.656855,15.656855,14.656855,13.656855,12.656855,11.656855,10.656855,9.656855,8.656855,7.656854,6.656854,5.656854,5.2426405,4.8284273,4.4142137,4.0,4.4142137,4.8284273,5.2426405,5.656854
20.242641,19.242641,18.242641,17.242641,16.242641,15.2426405,14.2426405,13.2426405,12.2426405,11.2426405,10.2426405,9.2426405,8.2426405,7.2426405,6.2426405,5.2426405,4.2426405,3.828427,3.4142137,3.0,3.4142137,3.828427,4.2426405,5.2426405
19.828426,18.828426,17.828426,16.828426,15.828427,14.828427,13.828427,12.828427,11.828427,10.828427,9.828427,8.828427,7.8284273,6.8284273,5.8284273,4.8284273,3.828427,2.828427,2.4142137,2.0,2.4142137,2.828427,3.828427,4.8284273
20.242641,19.242641,18.242641,17.242641,16.242641,15.2426405,14.2426405,13.2426405,12.2426405,11.2426405,10000.0,10000.0,10000.0,10000.0,5.4142137,4.4142137,3.4142137,2.4142137,1.0,1.0,1.0,2.4142137,3.4142137,4.4142137
20.656855,19.656855,18.656855,17.656855,16.656855,15.656855,14.656855,13.656855,12.656855,12.2426405,10000.0,1.0,1.0,10000.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0
21.071068,20.071068,19.071068,18.071068,17.071068,16.071068,15.071068,14.071068,13.656855,13.2426405,10000.0,1.0,1.0,10000.0,5.4142137,4.4142137,3.4142137,2.4142137,1.0,1.0,1.0,2.4142137,3.4142137,4.4142137
21.485281,20.485281,19.485281,18.485281,17.485281,16.485281,15.485281,15.071068,14.656855,14.2426405,10000.0,1.0,1.0,10000.0,5.8284273,4.8284273,3.828427,2.828427,2.4142137,2.0,2.4142137,2.828427,3.828427,4.8284273
21.899494,20.899494,19.899494,18.899494,17.899494,16.899494,16.485281,16.071068,15.656855,15.2426405,10000.0,1.0,1.0,10000.0,6.2426405,5.2426405,4.2426405,3.828427,3.4142137,3.0,3.4142137,3.828427,4.2426405,5.2426405
22.31371,21.31371,20.31371,19.31371,18.31371,17.899494,17.485281,17.071068,16.656855,16.242641,10000.0,1.0,1.0,10000.0,6.656854,5.656854,5.2426405,4.8284273,4.4142137,4.0,4.4142137,4.8284273,5.2426405,5.656854
22.727922,21.727922,20.727922,19.727922,19.31371,18.899494,18.485281,18.071068,17.656855,17.242641,10000.0,1.0,1.0,10000.0,7.071068,6.656854,6.2426405,5.8284273,5.4142137,5.0,5.4142137,5.8284273,6.2426405,6.656854
23.142136,22.142136,21.142136,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1.0,1.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,6.8284273,7.2426405,7.656854
23.556349,22.556349,22.142136,10000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000.0,7.8284273,8.2426405,8.656855
23.970562,23.556349,23.142136,10000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000.0,8.828427,9.2426405,9.656855
24.970562,24.556349,24.142136,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1.0,1.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9.828427,10.2426405,10.656855
25.970562,25.556349,25.142136,25.556349,26.556349,27.556349,28.556349,29.556349,30.556349,31.556349,10000.0,1.0,1.0,10000.0,17.242641,16.242641,15.2426405,14.2426405,13.2426405,12.2426405,11.2426405,10.828427,11.2426405,11.656855
26.970562,26.556349,26.142136,26.556349,26.970562,27.970562,28.970562,29.970562,30.970562,30.556349,10000.0,1.0,1.0,10000.0,17.656855,16.656855,15.656855,14.656855,13.656855,12.656855,12.2426405,11.828427,12.2426405,12.656855
27.970562,27.556349,27.142136,27.556349,27.970562,28.384775,29.384775,30.384775,29.970562,29.556349,10000.0,1.0,1.0,10000.0,18.071068,17.071068,16.071068,15.071068,14.071068,13.656855,13.2426405,12.828427,13.2426405,13.656855
28.970562,28.556349,28.142136,28.556349,28.970562,29.384775,29.79899,29.384775,28.970562,28.556349,10000.0,1.0,1.0,10000.0,18.485281,17.485281,16.485281,15.485281,15.071068,14.656855,14.2426405,13.828427,14.2426405,14.656855
29.970562,29.556349,29.142136,29.556349,29.970562,30.384775,29.384775,28.384775,27.970562,27.556349,10000.0,1.0,1.0,10000.0,18.899494,17.899494,16.899494,16.485281,16.071068,15.656855,15.2426405,14.828427,15.2426405,15.656855
30.970562,30.556349,30.142136,30.556349,30.970562,29.970562,28.970562,27.970562,26.970562,26.556349,10000.0,1.0,1.0,10000.0,19.31371,18.31371,17.899494,17.485281,17.071068,16.656855,16.242641,15.828427,16.242641,16.656855
31.970562,31.556349,31.142136,31.556349,30.556349,29.556349,28.556349,27.556349,26.556349,25.556349,10000.0,10000.0,10000.0,10000.0,19.727922,19.31371,18.899494,18.485281,18.071068,17.656855,17.242641,16.828426,17.242641,17.656855
32.970562,32.55635,32.142136,31.142136,30.142136,29.142136,28.142136,27.142136,26.142136,25.142136,24.142136,23.142136,22.142136,21.142136,20.727922,20.31371,19.899494,19.485281,19.071068,18.656855,18.242641,17.828426,18.242641,18.656855
33.970562,33.55635,32.55635,31.556349,30.556349,29.556349,28.556349,27.556349,26.556349,25.556349,24.556349,23.556349,22.556349,22.142136,21.727922,21.31371,20.899494,20.485281,20.071068,19.656855,19.242641,18.828426,19.242641,19.656855
34.970562,33.970562,32.970562,31.970562,30.970562,29.970562,28.970562,27.970562,26.970562,25.970562,24.970562,23.970562,23.556349,23.142136,22.727922,22.31371,21.899494,21.485281,21.071068,20.656855,20.242641,19.828426,20.242641,20.656855
